sentence,sentiment
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger
Don't join @BTCare they put the phone down on you* talk over you and are rude. Taking money out of my acc willynilly! #fuming,anger
My blood is boiling,anger
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger
@bt_uk why does tracking show my equipment delivered* when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming,anger
@TeamShanny legit why i am so furious with him* people are such fucking idiots.,anger
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger
im so mad about power rangers. im incensed. im furious.,anger
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger
Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted* been waiting for an appearance for ages #raging,anger
Fuking fuming 😤,anger
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger
I hate my lawn mower. If it had a soul* I'd condemn it to the fiery pits of Hell.,anger
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger
I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger
Tasers immobilize* if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder,anger
@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling* little bastards!,anger
Actually fuming I have nothing to wear Saturday,anger
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger
Bloody parking ticket 😒💸 #fuming,anger
You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger
This fuck you is boiling up inside* its not gonna be good when I let it out.,anger
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger
@SunandBeachBum 'you people' infuriate me!,anger
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger
Still can't log into my fucking Snapchat#Snapchat #snap,anger
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger
SOMEONE LET SNAKES IN MY HOUSE* I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger
Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted* been waiting for an appearance for ages ,anger
i feel furious,anger
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger
Still can't log into my fucking Snapchat #Snapchat ,anger
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger
People irritate my MF soul,anger
Im so angry 😂🙃,anger
People fuckin irritate me,anger
@leesyatt you are a cruel* cruel man. #therewillbeblood #revenge,anger
That way ur so angry you can literally feel ur blood boiling,anger
@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger
My mind is raging and i just want to end it all,anger
Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger
I'm nothing but a hateful and bitter fag,anger
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger
So angry I wanna cry😢😢😢,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger
In 2016* Black people are STILL fighting to be recognized as human beings. #cantsleep #angry,anger
