"tweet","username"
"Yep! He called it for sure, he’s definitely #Scottish! 😂 #classic [🔉🆙] #CCTVFootage #karma #angry #fight #OOPSY @YoufeckingIdiot @tifeaghna pic.twitter.com/SxsaL7v5Vi","@howzmeluck"
"Let's start the weekend with this one! One I'm really proud of and one of the fastest I've ever done! #Throwback #TalesoftheKnights #art #illustration #fantasy #angry #woman pic.twitter.com/oTCdOnZRfE","@Rgdraw"
"Meowmy has been caught TOUCHING A FILTHY DOGGO!!! #CatsOfTwitter #cats #angry pic.twitter.com/Eo637QwtJS","@_Demonia_"
"Happy one sec, angry the next! I will sort the PC before next week! #pcproblems #sendhelp #angry instagram.com/p/CCdULylhiKp/…","@CaptinCaketin"
"I really don't want to become the monster...that people don't want me to be. But the world keeps testing me. #angry #pissed pic.twitter.com/MI0Kw7Qmha","@Gamerhearted92"
"LUKE 5:27 27..saw a PUBLICAN named LEVI sitting at the RECEIPT OF CUSTOM & he said..FOLLOW ME Aye there may be *ONE SOUL* IN AN #ANGRY MOB OF #HATERS that #GOD may MOVE to BECOME UR *FUTURE ALLY* We have BUDDHISTS, HINDUS, #ATHEISTS..HEARING US PREACHERS ONLY THEIR CHOIRS😠 twitter.com/Adaliabrand8/s… pic.twitter.com/2dGyTDPUJJ","@ProfRobStew"
"“ If your #WIFE is #ANGRY with YOU, take HER out on a #SHOPPINGSPREE.. ” - Shopping Quotes.. ☛ naijastore.net/2020/07/if-you…","@ShoppersBoard"
"The face of pure anger. 🙀 🙀 🙀 #spayandneuter #cat #cone #angry @ Medivet instagram.com/p/CCdYrqujZtO/…","@AKnightsTales"
"The magic phrase that helps #ems deal with #angry #patients 1l.ink/ZWJX4LL","@HeroResource"
"Painter Donald #DonaldDuck #Disney #Painter #painting #Angry pic.twitter.com/LqllR3X6wh","@JuanpaDraws"
"Is It #Good to Sleep When #Angry? dld.bz/a3JgE #Good Sleep #Angry","@TreishaMarle"
